"","Species","TotalCount","TotalPlots","Intercept","YearSlope","YearError","Year_low_95","Year_up_95","Year_low_85","Year_up_85","Year_Per_Change","Year_Per_Change_low95","Year_Per_Change_upper95","Year_Per_Change_low85","Year_Per_Change_upper85","Prob_Decreasing","Prob_Increasing","FireIntercept","FireIntError","Fire_Int_Per_Change","Fire_Int_low_95","Fire_Int_up_95","Prob_Fire_Int_Decreasing","Prob_Fire_Int_Increasing","FireSlope","FireError","Fire_Slope_low_95","Fire_Slope_up_95","Fire_Year_Per_Change","Fire_Year_Per_Change_low95","Fire_Year_Per_Change_upper95","Fire_Year_Per_Change_low85","Fire_Year_Per_Change_upper85","Prob_Fire_Slope_Decreasing","Prob_Fire_SlOpe_Increasing","Prob_Fire_Overall_Decreasing","Prob_Fire_Ovarall_Increasing","Fire_Decreased_Year1","Fire_Increased_Year1","Model","Occu_Slope","Occu_Error","Occu_L95","Occu_U95","Occu_Decreasing","Occu_Increasing","Occu_Start","Occu_End"
"1","Carya glabra",67,46,-5.948,0.0137,0.012,-0.006,0.034,0.002,0.026,1.0138,0.994,1.0346,1.002,1.0263,0.122,0.878,-2.299,0.671,0.1,-3.45,-1.16,0.999,0.001,0.1319,0.038,0.067,0.195,1.1567,1.0875,1.2283,1.1135,1.201,0.001,0.999,0,1,1,0,"HurdGamma",NA,NA,NA,NA,NA,NA,NA,NA
"2","Ilex opaca",574,196,-6.015,0.0506,0.007,0.039,0.062,0.043,0.058,1.0519,1.0398,1.064,1.0439,1.0597,0,1,-3.549,1.5,0.03,-6.035,-1.054,0.99,0.01,0.5246,0.116,0.329,0.716,1.7775,1.4632,2.1516,1.575,2.0031,0,1,0,1,1,0,"HurdGamma",NA,NA,NA,NA,NA,NA,NA,NA
"3","Liquidambar styraciflua",76,29,-6.294,0.0256,0.018,-0.005,0.057,0.007,0.045,1.0259,0.995,1.0587,1.007,1.046,0.083,0.917,-0.832,1.417,0.44,-3.398,1.636,0.723,0.277,0.5567,0.109,0.367,0.747,1.7902,1.4859,2.1582,1.5973,2.0056,0,1,0,1,0.988,0.012,"HurdGamma",NA,NA,NA,NA,NA,NA,NA,NA
"4","Quercus alba",577,80,-5.662,0.0315,0.014,0.008,0.055,0.017,0.046,1.032,1.008,1.0565,1.0171,1.0471,0.014,0.986,-0.439,0.505,0.64,-1.291,0.405,0.809,0.191,0.1422,0.043,0.071,0.213,1.1897,1.1127,1.2718,1.1409,1.2404,0.001,0.999,0,1,0.982,0.018,"HurdGamma",NA,NA,NA,NA,NA,NA,NA,NA
"5","Quercus coccinea",46,18,-7.082,0.0619,0.06,-0.044,0.17,-0.002,0.126,1.0639,0.957,1.1853,0.998,1.1343,0.156,0.844,0.372,1.149,1.45,-1.824,2.378,0.373,0.627,0.1145,0.104,-0.065,0.302,1.1929,1.0316,1.3954,1.0918,1.3101,0.137,0.863,0.027,0.973,0.587,0.413,"HurdGamma",NA,NA,NA,NA,NA,NA,NA,NA
"6","Quercus falcata",83,35,-6.635,0.0345,0.025,-0.006,0.077,0.009,0.06,1.0351,0.994,1.08,1.009,1.0618,0.08,0.92,-1.378,0.912,0.25,-2.963,0.175,0.931,0.069,0.0182,0.067,-0.097,0.129,1.0541,0.9487,1.1697,0.9878,1.124,0.391,0.609,0.198,0.802,0.92,0.08,"HurdGamma",NA,NA,NA,NA,NA,NA,NA,NA
"7","Quercus velutina",50,28,-6.057,0.0381,0.015,0.013,0.064,0.023,0.054,1.0388,1.0131,1.0661,1.0233,1.0555,0.01,0.99,-0.176,1.064,0.84,-2.071,1.673,0.565,0.435,0.0872,0.031,0.033,0.141,1.1335,1.0819,1.1876,1.1016,1.1662,0.006,0.994,0,1,0.73,0.27,"HurdGamma",NA,NA,NA,NA,NA,NA,NA,NA
"8","All",4516,431,-4.14,-0.0048,0.005,-0.012,0.003,-0.009,0,0.9952,0.9881,1.003,0.991,1,0.856,0.144,-0.177,0.295,0.84,-0.673,0.31,0.726,0.274,0.099,0.027,0.055,0.144,1.0988,1.0526,1.148,1.0695,1.1291,0,1,0,1,0.984,0.016,"HurdGamma",NA,NA,NA,NA,NA,NA,NA,NA
"9","Early_Successional",128,62,-5.861,0.0018,0.014,-0.021,0.025,-0.012,0.016,1.0018,0.9792,1.0253,0.9881,1.0161,0.449,0.551,-0.746,1.006,0.47,-2.455,0.962,0.77,0.23,0.9171,0.117,0.718,1.117,2.5065,2.0576,3.0574,2.2186,2.8335,0,1,0,1,1,0,"HurdGamma",NA,NA,NA,NA,NA,NA,NA,NA
"10","Oak_Hickory",856,123,-5.541,0.0059,0.011,-0.013,0.025,-0.006,0.018,1.0059,0.9871,1.0253,0.994,1.0182,0.303,0.697,0.145,0.571,1.16,-0.814,1.102,0.4,0.6,0.1764,0.044,0.104,0.248,1.2,1.1194,1.2857,1.1483,1.253,0,1,0,1,0.901,0.099,"HurdGamma",NA,NA,NA,NA,NA,NA,NA,NA
"11","Mesic",3133,427,-4.431,0.0106,0.005,0.003,0.018,0.006,0.015,1.0107,1.003,1.0182,1.006,1.0151,0.012,0.988,-0.742,0.337,0.48,-1.297,-0.188,0.985,0.015,0.0304,0.027,-0.014,0.075,1.0419,0.9972,1.0883,1.0138,1.0708,0.129,0.871,0.062,0.938,0.992,0.008,"HurdGamma",NA,NA,NA,NA,NA,NA,NA,NA
"12","Non_Canopy",395,195,-5.66,-0.0333,0.01,-0.049,-0.017,-0.043,-0.023,0.9672,0.9522,0.9831,0.9579,0.9773,1,0,-1.263,0.455,0.28,-2.011,-0.513,0.998,0.002,0.086,0.045,0.011,0.16,1.0541,0.9803,1.1327,1.0076,1.103,0.029,0.971,0.116,0.884,0.999,0.001,"HurdGamma",NA,NA,NA,NA,NA,NA,NA,NA
"13","Cornus florida",184,129,-5.813,-0.0378,0.011,-0.057,-0.019,-0.05,-0.026,0.9629,0.9446,0.9812,0.9512,0.9743,0.999,0.001,0.543,0.525,1.72,-0.325,1.411,0.151,0.849,0.0561,0.05,-0.026,0.138,1.0185,0.9399,1.103,0.9687,1.0712,0.13,0.87,0.352,0.648,0.359,0.641,"HurdGamma",NA,NA,NA,NA,NA,NA,NA,NA
"14","Fagus grandifolia",1550,338,-5.248,0.0301,0.007,0.019,0.041,0.023,0.037,1.0306,1.0192,1.0419,1.0233,1.0377,0,1,-1.328,0.82,0.27,-2.683,0.017,0.948,0.052,-0.0587,0.07,-0.176,0.055,0.9718,0.8648,1.0882,0.9039,1.0445,0.8,0.2,0.658,0.342,0.844,0.156,"HurdGamma",NA,NA,NA,NA,NA,NA,NA,NA
"15","Nyssa sylvatica",700,259,-5.349,-0.0067,0.006,-0.016,0.003,-0.013,-0.001,0.9933,0.9841,1.003,0.9871,0.999,0.877,0.123,-0.2,0.517,0.82,-1.053,0.662,0.649,0.351,-0.0089,0.029,-0.057,0.039,0.9845,0.9395,1.0317,0.9556,1.014,0.621,0.379,0.711,0.289,0.607,0.393,"HurdGamma",NA,NA,NA,NA,NA,NA,NA,NA
"16","Sassafras albidum",58,40,-5.504,0.0041,0.013,-0.017,0.026,-0.009,0.017,1.0041,0.9831,1.0263,0.991,1.0171,0.37,0.63,85.476,69.383,1.32359505259759e+37,-42.026,245.679,0.116,0.884,-5.4913,107.067,-137.274,125.694,0.0041,0,3.88566747564455e+54,0,3.68960985794029e+41,0.519,0.481,0.519,0.481,0.432,0.568,"HurdGamma",NA,NA,NA,NA,NA,NA,NA,NA
"17","Acer rubrum",301,173,-5.857,-0.006,0.006,-0.016,0.005,-0.012,0.003,0.994,0.9841,1.005,0.9881,1.003,0.827,0.173,0.184,0.55,1.2,-0.736,1.102,0.368,0.632,0.1015,0.025,0.06,0.143,1.1002,1.0567,1.1453,1.0726,1.1283,0,1,0,1,0.747,0.253,"HurdGamma2",0.043,0.029,-0.012,0.099,0.937,0.063,0.648,0.196
"18","Carpinus caroliniana",112,38,-5.859,0.0244,0.014,0,0.049,0.01,0.046,1.0247,1,1.0502,1.0101,1.0471,0.048,0.952,-1.82,1.42,0.16,-4.258,0.608,0.895,0.105,0.1345,0.089,-0.019,0.286,1.1722,1.0071,1.3618,1.0678,1.2858,0.075,0.925,0.043,0.957,0.942,0.058,"HurdGamma2",0.037,0.048,-0.057,0.134,0.78,0.22,0,0.999
