"","Species","TotalCount","TotalPlots","shape","Intercept","YearSlope","YearError","Year_low_95","Year_up_95","Year_low_85","Year_up_85","Year_Per_Change","Year_Per_Change_low95","Year_Per_Change_upper95","Year_Per_Change_low85","Year_Per_Change_upper85","Prob_Decreasing","Prob_Increasing","FireIntercept","FireIntError","Fire_Int_Per_Change","Fire_Int_low_95","Fire_Int_up_95","Prob_Fire_Int_Decreasing","Prob_Fire_Int_Increasing","FireSlope","FireError","Fire_Slope_low_95","Fire_Slope_up_95","Fire_Year_Per_Change","Fire_Year_Per_Change_low95","Fire_Year_Per_Change_upper95","Fire_Year_Per_Change_low85","Fire_Year_Per_Change_upper85","Prob_Fire_Slope_Decreasing","Prob_Fire_SlOpe_Increasing","Prob_Fire_Overall_Decreasing","Prob_Fire_Ovarall_Increasing","Fire_Decreased_Year1","Fire_Increased_Year1","Model"
"1","Acer rubrum",1564,368,NA,0.797,0.0083,0.008,-0.005,0.021,0,0.016,1.0083,0.995,1.0212,1,1.0161,0.145,0.855,0.068,0.482,1.07,-0.721,0.878,0.446,0.554,0.022,0.043,-0.049,0.094,1.0308,0.9611,1.1059,0.9862,1.0776,0.305,0.695,0.236,0.764,0.54,0.46,"Poisson"
"2","Carpinus caroliniana",59,36,NA,-5.919,0.0747,0.042,0.006,0.145,0.031,0.119,1.0776,1.006,1.156,1.0315,1.1264,0.038,0.962,2.097,1.83,8.14,-0.971,5.27,0.126,0.874,-0.0821,0.148,-0.333,0.166,0.9926,0.7812,1.2606,0.8561,1.1508,0.711,0.289,0.52,0.48,0.103,0.897,"Poisson"
"3","Carya alba",251,134,NA,-2.673,-0.0013,0.02,-0.033,0.031,-0.021,0.019,0.9987,0.9675,1.0315,0.9792,1.0192,0.525,0.475,-0.501,1.41,0.61,-2.964,1.805,0.64,0.36,0.0771,0.145,-0.157,0.331,1.0787,0.8547,1.3882,0.9318,1.2588,0.294,0.706,0.297,0.703,0.71,0.29,"Poisson"
"4","Carya glabra",359,170,NA,-1.886,0.0013,0.016,-0.026,0.028,-0.016,0.018,1.0013,0.9743,1.0284,0.9841,1.0182,0.468,0.532,-0.862,1.258,0.42,-3.05,1.172,0.756,0.244,0.0347,0.1,-0.132,0.203,1.0367,0.8796,1.2242,0.9351,1.1505,0.365,0.635,0.359,0.641,0.776,0.224,"Poisson"
"5","Carya ovalis",62,44,NA,-6.075,0.0054,0.039,-0.058,0.069,-0.035,0.046,1.0054,0.9436,1.0714,0.9656,1.0471,0.445,0.555,-140.184,127.717,0,-888.641,-21.956,1,0,0.5765,16.161,-46.813,61.463,1.7894,0,5.04032424754713e+26,0,13446344553.7417,0.481,0.52,0.481,0.52,0.979,0.021,"Poisson"
"6","Cornus florida",178,86,NA,-3.349,-0.0392,0.023,-0.078,-0.001,-0.063,-0.015,0.9616,0.925,0.999,0.9389,0.9851,0.955,0.045,-0.867,1.661,0.42,-3.925,1.736,0.704,0.296,0.0954,0.146,-0.143,0.347,1.0578,0.8363,1.3551,0.9119,1.2342,0.254,0.746,0.347,0.653,0.78,0.22,"Poisson"
"7","Fagus grandifolia",2428,339,NA,1.037,0.0352,0.006,0.025,0.045,0.029,0.042,1.0358,1.0253,1.046,1.0294,1.0429,0,1,-2.063,0.777,0.13,-3.392,-0.819,0.996,0.004,0.034,0.054,-0.054,0.125,1.0717,0.9819,1.1727,1.0135,1.1333,0.266,0.734,0.099,0.901,0.997,0.003,"Poisson"
"8","Fraxinus americana",48,33,NA,-6.239,-0.002,0.044,-0.075,0.07,-0.048,0.043,0.998,0.9277,1.0725,0.9531,1.0439,0.519,0.481,-138.496,126.477,0,-791.193,-21.814,0.999,0.001,0.4734,16.021,-48.086,53.879,1.6022,0,2.52445669602607e+23,0,4704514509.8308,0.485,0.515,0.485,0.515,0.978,0.022,"Poisson"
"9","Ilex opaca",380,150,NA,-2.119,0.0339,0.016,0.008,0.06,0.017,0.05,1.0345,1.008,1.0618,1.0171,1.0513,0.016,0.984,-2.184,1.592,0.11,-5.076,0.244,0.929,0.071,0.004,0.19,-0.315,0.337,1.0386,0.7565,1.4492,0.854,1.271,0.492,0.508,0.42,0.58,0.876,0.124,"Poisson"
"10","Juniperus virginiana",53,30,NA,-6.864,-0.0594,0.043,-0.13,0.01,-0.104,-0.015,0.9423,0.8781,1.0101,0.9012,0.9851,0.919,0.081,-150.423,138.613,0,-855.401,-22.809,1,0,0.3533,17.488,-55.977,57.08,1.3416,0,5.88478493369255e+24,0,15548875843.0843,0.489,0.511,0.491,0.509,0.978,0.022,"Poisson"
"11","Liquidambar styraciflua",144,42,NA,-6.82,0.03,0.026,-0.012,0.073,0.003,0.057,1.0305,0.9881,1.0757,1.003,1.0587,0.121,0.879,-48.723,49.461,0,-280.121,-4.658,0.989,0.011,-9.4603,8.94,-50.845,-1.31,1e-04,0,0.2783,0,0.054,0.998,0.002,0.998,0.002,0.144,0.856,"Poisson"
"12","Liriodendron tulipifera",2115,371,NA,0.98,-4e-04,0.007,-0.012,0.011,-0.007,0.007,0.9996,0.9881,1.0111,0.993,1.007,0.524,0.476,0.574,0.521,1.78,-0.284,1.438,0.135,0.865,0.0028,0.03,-0.046,0.052,1.0024,0.9561,1.0515,0.973,1.0327,0.462,0.538,0.466,0.534,0.152,0.848,"Poisson"
"13","Nyssa sylvatica",1118,331,NA,0.408,0.0109,0.009,-0.004,0.026,0.001,0.02,1.011,0.996,1.0263,1.001,1.0202,0.119,0.881,-0.15,0.539,0.86,-1.038,0.741,0.608,0.392,0.0087,0.058,-0.086,0.105,1.0198,0.9285,1.1218,0.9611,1.0826,0.439,0.561,0.365,0.635,0.621,0.379,"Poisson"
"14","Pinus virginiana",2215,236,NA,-0.612,-0.0342,0.007,-0.045,-0.023,-0.041,-0.027,0.9664,0.956,0.9773,0.9598,0.9734,1,0,-0.086,1.363,0.92,-2.389,2.123,0.525,0.475,-0.0161,0.035,-0.074,0.041,0.9509,0.8979,1.0061,0.9177,0.9851,0.677,0.323,0.929,0.071,0.499,0.501,"Poisson"
"15","Quercus alba",1614,336,NA,0.688,-0.0047,0.008,-0.017,0.008,-0.013,0.003,0.9953,0.9831,1.008,0.9871,1.003,0.728,0.272,-0.902,0.642,0.41,-1.976,0.147,0.921,0.079,-0.0312,0.056,-0.124,0.06,0.9647,0.8794,1.0561,0.9106,1.0214,0.713,0.287,0.743,0.257,0.85,0.15,"Poisson"
"16","Quercus coccinea",506,171,NA,-1.896,-0.0177,0.014,-0.041,0.005,-0.032,-0.003,0.9825,0.9598,1.005,0.9685,0.997,0.901,0.099,0.476,1.179,1.61,-1.471,2.459,0.343,0.657,-0.0962,0.084,-0.242,0.039,0.8923,0.7724,1.0196,0.8169,0.9707,0.878,0.122,0.92,0.08,0.2,0.8,"Poisson"
"17","Quercus falcata",233,115,NA,-3.111,-0.0022,0.02,-0.036,0.031,-0.023,0.019,0.9978,0.9646,1.0315,0.9773,1.0192,0.545,0.455,-1.201,1.767,0.3,-4.43,1.542,0.759,0.241,0.0191,0.132,-0.197,0.24,1.017,0.8217,1.2658,0.8888,1.1649,0.441,0.559,0.447,0.553,0.757,0.243,"Poisson"
"18","Quercus prinus",212,45,NA,-7.762,-7e-04,0.021,-0.035,0.034,-0.023,0.021,0.9993,0.9656,1.0346,0.9773,1.0212,0.513,0.487,-166.32,155.177,0,-1052.68,-25.786,0.999,0.001,0.6189,19.297,-60.525,71.922,1.8556,0,1.71703863876642e+31,0,1346312594594.35,0.482,0.518,0.482,0.518,0.977,0.023,"Poisson"
"19","Quercus rubra",193,100,NA,-3.351,-0.0049,0.022,-0.041,0.032,-0.028,0.018,0.9951,0.9598,1.0325,0.9724,1.0182,0.587,0.413,-107.566,87.773,0,-528.326,-22.189,1,0,0.4236,12.383,-33.174,37.11,1.52,0,12950633128464216,0,9977056.8124,0.484,0.516,0.484,0.516,0.989,0.011,"Poisson"
"20","Quercus velutina",188,115,NA,-2.69,-0.0211,0.022,-0.058,0.016,-0.045,0.002,0.9791,0.9436,1.0161,0.956,1.002,0.831,0.169,-2.688,1.99,0.07,-6.672,0.183,0.938,0.062,0.4866,0.311,0.074,1.191,1.5928,1.0551,3.218,1.2073,2.3706,0.022,0.978,0.028,0.972,0.983,0.017,"Poisson"
"21","Sassafras albidum",51,40,NA,-4.664,0.0645,0.043,-0.006,0.137,0.02,0.11,1.0666,0.994,1.1468,1.0202,1.1163,0.067,0.933,-118.99,103.644,0,-662.156,-20.976,1,0,0.2923,13.732,-40.883,44.471,1.4288,0,21364966078295166976,0,89285475.2807,0.489,0.511,0.487,0.513,0.98,0.02,"Poisson"
"22","All",14109,435,NA,3.449,0.0023,0.003,-0.002,0.007,0,0.005,1.0023,0.998,1.007,1,1.005,0.186,0.814,-0.485,0.142,0.62,-0.72,-0.249,0.999,0.001,0.0011,0.015,-0.024,0.027,1.0034,0.9785,1.0289,0.9876,1.0194,0.471,0.529,0.413,0.587,0.998,0.002,"Poisson"
"23","Early_Successional",4549,404,NA,1.721,-0.0171,0.005,-0.025,-0.009,-0.022,-0.012,0.983,0.9753,0.991,0.9782,0.9881,1,0,0.266,0.534,1.3,-0.619,1.141,0.313,0.687,-0.0044,0.022,-0.041,0.032,0.9787,0.9439,1.0145,0.9565,1.0009,0.58,0.42,0.839,0.161,0.3,0.7,"Poisson"
"24","Oak_Hickory",3647,410,NA,1.862,-0.0062,0.005,-0.015,0.002,-0.011,-0.001,0.9938,0.9851,1.002,0.9891,0.999,0.886,0.114,-0.92,0.411,0.4,-1.607,-0.242,0.988,0.012,-0.0096,0.037,-0.07,0.051,0.9843,0.9276,1.0447,0.9483,1.0222,0.603,0.397,0.667,0.333,0.972,0.028,"Poisson"
"25","Mesic",5571,434,NA,2.416,0.0222,0.004,0.015,0.029,0.018,0.026,1.0224,1.0151,1.0294,1.0182,1.0263,0,1,-0.725,0.269,0.48,-1.177,-0.279,0.995,0.005,0.0168,0.028,-0.03,0.064,1.0398,0.9926,1.0898,1.0097,1.0707,0.277,0.723,0.085,0.915,0.995,0.005,"Poisson"
"26","Non_Canopy",294,145,NA,-1.797,0.004,0.018,-0.026,0.033,-0.015,0.023,1.004,0.9743,1.0336,0.9851,1.0233,0.413,0.587,-0.291,1.041,0.75,-2.096,1.383,0.612,0.388,0.0211,0.099,-0.143,0.189,1.0254,0.8725,1.2094,0.9266,1.1357,0.414,0.586,0.398,0.602,0.634,0.366,"Poisson"
